year,team,waiver_signed,waiver_spending,extended_signed,extended_spend,fa_signed,fa_spend,draft_spend,undraft_signed,undraft_spend,traded_from,traded_to,ttl_spend
2018,NE,16,8385000,6,64390000,14,41855000,41424819,10,17135000,2,4,173189819
2018,NO,18,12007000,3,17410000,20,92792500,33792499,17,29117000,1,1,185118999
2018,NYG,14,9030000,3,91985000,18,117860000,52726027,15,23210000,2,2,294811027
2018,NYJ,13,9465000,0,0,31,202385000,45165760,12,20560000,2,1,277575760
2018,LV_OAK,13,7345000,1,13500000,30,91510000,34752803,16,26155000,6,4,173262803
2018,PHI,15,16505000,2,0,10,16655000,16909952,21,33516000,2,3,83585952
2018,PIT,23,31155000,4,44288000,7,8840000,30531625,16,27392500,1,1,127663125
2018,SEA,9,7544000,3,78750000,16,41845000,33625495,20,34220000,2,4,195984495
2018,SF,11,10330000,8,214280000,13,126700000,45635458,15,25680000,3,1,422625458
2018,TB,15,17419000,5,134640000,11,110370000,43235448,21,32251000,0,1,337915448
2018,TEN,12,13155000,5,125540000,14,146072000,23667607,27,42890800,0,1,351325407
2018,WAS,15,17114000,4,103500000,10,82315000,33113182,22,35170000,1,1,271212182
2017,ARI,9,19360000,4,119800000,16,37190000,34350890,24,37598000,1,0,233748890
2017,ATL,9,9446000,4,120150000,11,37930000,24674144,26,42095000,0,1,234295144
2017,BAL,11,23124000,1,2000000,15,111075000,32650754,25,40446500,2,2,209296254
2017,BUF,12,12239000,0,0,29,99465000,28908984,16,26658500,5,3,167271484
2017,CAR,20,35164000,10,179040000,11,96975000,38834434,8,10930000,2,1,347475434
2017,CHI,15,16175000,1,37000000,25,133108750,43740454,17,26583500,0,0,256607704
2017,CIN,9,9627000,2,61500000,6,14605000,47891236,13,21655000,2,1,155278236
2017,CLE,9,11056000,5,156734777,5,110720000,72342383,15,24975000,2,3,375828160
2017,DAL,18,20000000,4,54800000,12,40195000,35508693,20,27875000,0,2,178378693
2017,DEN,26,23652000,0,0,11,72390000,32953220,19,31743500,2,1,160738720
2017,DET,14,11275000,4,152380000,18,107120000,32197510,18,28824000,2,1,331796510
2017,GB,9,8925000,2,75500000,12,41340001,33349780,24,34761500,1,0,193876281
2017,HOU,8,8160000,6,126400000,4,15525000,32510642,25,39312000,1,0,221907642
2017,IND,13,31740000,0,0,16,93985000,35632873,30,44012000,3,2,205369873
2017,JAC,16,18545000,2,67203000,18,178800000,48751041,18,27584000,3,2,340883041
2017,KC,14,14795200,6,141643000,13,17060000,31964329,17,27125000,4,3,232587529
2017,LAC,10,23325000,4,91990000,7,60905000,40940228,21,29752000,0,1,232362228
2017,LAR,11,28664400,0,0,13,93844999,26786498,23,34712500,3,2,167265997
2017,MIA,18,19585000,6,185045000,11,41774445,29013007,17,28345000,2,2,303762452
2017,MIN,14,14536000,4,197696000,11,117355000,33951015,19,28860000,0,1,392398015
2017,NE,6,8102000,6,59900000,8,90825000,12106626,25,37641500,2,8,208575126
2017,NO,12,11730000,3,4455000,28,126900000,43541174,22,30932000,1,1,217558174
2017,NYG,21,37551000,3,65415000,13,51555000,26848275,19,29287500,0,1,193722775
2017,NYJ,15,17146000,1,29000000,22,60515000,47954946,14,23315000,4,4,177930946
2017,LV_OAK,11,10152000,3,192000000,7,25635000,35043350,23,37102500,0,1,299932850
2017,PHI,15,17936000,5,32085000,11,50615000,35964834,17,28299500,5,3,164900334
2017,PIT,34,39159000,5,96580000,8,43680000,30457632,13,18045000,3,3,215801632
2017,SEA,18,17582000,2,63000000,16,29720000,37313440,15,20195000,5,5,167810440
2017,SF,8,6615000,1,8400000,21,148952000,57812392,21,35022000,1,3,256801392
2017,TB,20,19617000,2,29750000,17,87900000,27908275,17,28335000,1,0,193510275
2017,TEN,9,9480000,4,79200000,13,101615000,59764474,19,28076000,0,1,278135474
2017,WAS,17,19818000,5,58700000,10,74280000,39066309,12,18795000,2,1,210659309
2016,ARI,22,11340000,7,108275000,8,20541900,19215881,20,30794000,1,2,190166781
2016,ATL,7,8328000,0,0,20,120220000,26288406,27,43753500,0,0,198589906
2016,BAL,12,9822000,5,105550000,11,52105000,51371237,13,21090000,0,0,235366237
2016,BUF,14,24566000,3,165750000,18,14575000,29527239,15,22731000,0,0,243443239
2016,CAR,21,13127000,7,85510000,9,14865000,20606821,15,21143000,1,1,155251821
2016,CHI,11,6025000,2,51050000,31,130255000,39541537,17,25945021,1,0,252816558
