year,team,rswp,ps_points,qb_cap_share,rb_cap_share,wr_cap_share,te_cap_share,ol_cap_share,dl_cap_share,lb_cap_share,sec_cap_share,st_cap_share,norm_total_spend,traded_from,traded_to,norm_fa_spend,ext_spend_rank,avg_age,qb_pa,rb_pa,wr_pa,te_pa,ol_pa,dl_pa,lb_pa,sec_pa,st_pa
2020,BAL,0.688,2,0.034781179,0.048267742,0.076470962,0.048538364,0.12684415,0.197601008,0.16607621,0.249836316,0.051584067,150027249,2,1,16504351.76,18,26.1,0.090652669,0.06304961,0.159041887,0.132736021,0.064180883,0.075961205,0.243299093,0.171078631,0
2020,BUF,0.813,3,0.041867566,0.026192136,0.171122522,0.048916743,0.185271779,0.254142296,0.080618276,0.180247123,0.011621559,185794101.7,0,2,91528872.76,11,26.1,0.216139054,0.053181068,0.083550256,0.016374171,0.114675176,0.255688975,0.14938282,0.108965208,0.002043273
2020,CAR,0.313,0,0.104135331,0.081527015,0.10911099,0.019277961,0.237313327,0.228306829,0.101296776,0.095042356,0.023989415,135139864.8,3,1,116208319.6,13,25.8,0.012551461,0.180891656,0.155763631,0.012049403,0.101039261,0.419745958,0.003313586,0.11451953,0.000125515
2020,CHI,0.5,1,0.085436308,0.027589539,0.133565487,0.053965874,0.156459603,0.123223266,0.241285159,0.155671266,0.0228035,169765204.1,1,1,96219463.94,15,26.7,0.379656265,0.041192705,0.066819503,0.134339909,0.079289751,0.004818714,0.22037586,0.073507294,0
2020,CIN,0.281,0,0.043348434,0.057081309,0.207818526,0.056218774,0.152061655,0.185351442,0.032373103,0.228170558,0.037576199,161458000.7,1,1,122227420.4,19,25.9,0.309964656,0.051449916,0.198309101,0.038256085,0.213491043,0.063619568,0.08004659,0.041991325,0.002871717
2020,CLE,0.688,2,0.065768097,0.03721308,0.181367383,0.047272034,0.224207488,0.179081744,0.101603044,0.149403245,0.014083886,163210762.9,0,2,115013567.8,8,25.4,0.236267807,0.038515847,0.008304324,0.04921081,0.136014763,0.259726824,0.023053587,0.247312279,0.001593759
2020,DAL,0.375,0,0.215644494,0.075334765,0.107832292,0.038867346,0.164896732,0.162947801,0.114037505,0.087438015,0.03300105,149588914.3,0,0,60335647.93,7,25.8,0.004539651,0.00958596,0.239567923,0.007599862,0.115801633,0.256571348,0.180086334,0.186247289,0
2020,DEN,0.313,0,0.023134313,0.052318633,0.052274643,0.045316356,0.138481493,0.137445689,0.235298544,0.275244363,0.040485966,154401612.3,3,3,81161510.04,30,25.6,0.056588235,0.028776471,0.267647059,0.113929412,0.182235294,0.090988235,0.212188235,0.047647059,0
2020,DET,0.313,0,0.139684183,0.023947607,0.107540827,0.060984219,0.13398484,0.205858639,0.092324295,0.204244724,0.031430667,154357332.5,2,1,107958410.8,17,26.1,0.000446041,0.124116722,0.021057821,0.169730263,0.134469564,0.01734864,0.184637416,0.348193535,0
2020,GB,0.813,3,0.129372679,0.035217148,0.10204872,0.02529854,0.245629391,0.081870665,0.222491655,0.128812864,0.029258339,172751886,0,0,15912643.55,14,25.5,0.104823373,0.052890879,0.013102922,0.050764462,0.079036823,0.023779931,0.217253927,0.455053235,0.003294449
2020,HOU,0.25,0,0.076883516,0.08654027,0.138821135,0.032328654,0.19862695,0.123274323,0.180153022,0.120911385,0.042460745,169075932.5,1,2,51535291.79,2,26.1,0.247285017,0.030230593,0.022544151,0.05633977,0.286232407,0.148247367,0.068868877,0.140251819,0
